	EN	FR	NL	DA	ES	UK	RU	DE	KO	FI	SE
a_directed_msgs	Show posts \@directed to users I don\'t follow	Afficher les posts \@adressés aux utilisateurs que je ne suis pas	Toon posts \@gericht aan gebruikers die ik niet volg	Vis posts \@henvendt til brugere jeg ikke følger	Mostrar posts \@dirigidos a usuarios que no sigo	Показувати записи, адресовані \@користувачам, яких я не читаю	Показывать записи, адресованные \@пользователям, которых я не читаю	Zeige Posts an Benutzer, denen ich nicht folge	내가 팔로우하지 않은 사용자를 \'\@멘션\'하는 글을 표시합니다.		
abbr_days	d	j	d	d	d	д	д	t	일	pv	
abbr_hours	h	h	u	t	h	г	ч	h	시	t	
abbr_minutes	m	m	m	min.	m	хв	м	m	분	min	
abbr_months	mo	mo	ma	mdr.	mes	м	мес	mo	개월	kk	
abbr_seconds	s	s	s	sek.	s	с	c	s	초	sek	
abbr_weeks	w	s	w	uge(r)	s	т	н	w	주	vk	
abbr_years	y	a	j	år	a	р	г	y	년	v	
about	About	À propos	Over	Om	Acerca de	Про програму	О приложении	Über	Robin에 관하여		
about_copy	This app was made by \@scruffyfox and \@simpleline for App.net.\nWe\'re spending a lot of nights on this app and we love it!\nSo if you like Robin, buy us a beer!	Cette app a été réalisée par \@scruffyfox et \@simpleline pour App.net.\nNous passons beaucoup de nuits sur ce projet et nous adorons ça !\nAlors si vous aimez Robin, offrez nous un coup à boire !	Deze app is gemaakt door \@scruffyfox en \@simpleline voor App.net.\nWe besteden een hoop avonden aan deze app en we houdern ervan!\nDus, als je Robin tof vind, koop een biertje voor ons!	Denne app er lavet af \@scruffyfox og \@simpleline for App.net. \nVi bruger mange nætter på denne app og vi elsker det!\n Så hvis du kan lide Robin, køb os en øl!	Esta aplicación ha sido desarrollada por \@scruffyfox y \@simpleline para App.net.\nEstamos empleando muchas noches en ella y ¡nos encanta!\nAsí que si te gusta Robin, ¡invítanos a una cerveza!	Цю програму створили \@scruffyfox і \@simpleline для мережі App.net. \nМи проводимо безліч ночей в роботі над цією програмою і нам це подобається! \nЯкщо Robin Вам до душі – купіть нам пива!	Это приложение создали \@scruffyfox и \@simpleline для сети App.net.\nМы проводим множество ночей в работе над этим приложением и нам это нравится!\nЕсли Robin Вам по душе – купите нам пива!	Diese App wurde erstellt von \@scruffyfox und \@simpleline für App.net. \nWir verbringen viele schlaflose Nächte mit dieser App und wir lieben es! \nWenn du Robin in Bier!	\@scruffyfox와 \@simpleline이 밤을 새워가며 이 앱을 만들었습니다. 저희가 Robin을 사랑하는 것만큼 여러분 역시 Robin이 마음에 든다면 저희에게 맥주라도 한 잔 사 주시는 게 어때요?		
accounts	Accounts	Comptes	Accounts	Konti	Cuentas	Облікові записи	Учетные записи	Accounts	계정	Tilit	
add_account	Add account	Ajouter un compte	Voeg account toe	Tilføj konto	Añadir cuenta	Додати обліковий запис	Добавить учетную запись	Konto hinzufügen	계정 추가	Lisää tili	
add_at	Add at	Ajouter une mention	Voeg to op	Tilføj mention	Añadir a	Додати в	Добавить в	Hinzufügen an	멘션 추가		
